cid,period,system_cost,domestic_price,domestic_margin,export_price,export_margin
catl,2022,0.794,0.794,17.0,0.957,17.0
catl,2023,0.706,0.706,18.7,0.868,18.7
catl,2024,0.451,0.451,26.8,0.616,26.8
catl,2025,0.389,0.389,26.7,0.58,32.9
catl,2026E,0.35,0.36,26.0,0.54,33.0
byd,2024,,,15.0,,15.0
byd,2025,,,15.0,,15.0
byd,2026E,,,15.0,,15.0
hb,2022,0.87,1.16,24.8,,
hb,2023,0.83,1.08,23.5,,
hb,2024,0.51,0.59,16.85,0.69,35.0
hb,2025,0.448,0.54,17.0,0.68,35.0
hb,2026E,0.483,0.59,18.0,0.6,19.5
hc,2022,0.777,0.87,10.7,1.04,25.3
hc,2023,0.504,0.576,12.5,1.028,51.0
hc,2024,0.288,0.316,9.0,0.983,70.7
hc,2025,0.258,0.287,9.9,0.565,54.3
hc,2026E,0.24,0.27,10.0,0.54,55.0
tesla,2024,0.62,0.85,27.1,0.98,36.7
tesla,2025,0.55,0.75,26.7,0.88,37.5
tesla,2026E,0.5,0.7,26.5,0.82,37.0
tc,2022,0.884,1.13,28.0,1.29,31.0
tc,2023,0.778,1.0,29.0,1.15,33.0
tc,2024,0.548,0.58,5.5,0.65,15.7
tc,2025,0.43,0.44,1.7,0.52,16.4
tc,2026E,0.4,0.42,2.0,0.5,16.0
deye,2022,0.35,0.52,32.7,0.68,48.5
deye,2023,0.3,0.45,33.3,0.58,48.3
deye,2024,0.26,0.38,31.6,0.5,48.0
deye,2025,0.23,0.34,32.4,0.45,48.9
deye,2026E,0.21,0.32,32.0,0.42,49.0
sg,2024,0.35,0.48,27.1,0.62,43.5
sg,2025,0.3,0.42,28.6,0.55,45.5
sg,2026E,0.28,0.4,28.0,0.52,45.0
flu,2024,0.62,0.75,17.3,0.9,31.1
flu,2025,0.55,0.65,15.4,0.78,29.5
flu,2026E,0.5,0.62,15.0,0.72,29.0
