cid,period,revenue,gross_margin,net_profit,net_margin,revenue_q1,revenue_q2,revenue_q3,revenue_q4,net_profit_q1,net_profit_q2,net_profit_q3,net_profit_q4,overseas_ratio
catl,2022,449.8,17.01,76.53,17.01,110.0,112.0,115.0,112.8,19.0,19.5,20.0,18.03,
catl,2023,599.01,18.66,111.75,18.66,145.0,150.0,152.0,152.01,27.0,28.0,28.5,28.25,
catl,2024,572.9,26.84,153.76,26.84,140.0,143.0,145.0,144.9,38.0,38.5,39.0,38.26,
catl,2025,624.4,26.71,165.84,26.56,150.0,155.0,160.0,159.4,40.0,42.0,41.0,42.84,
catl,2026E,750.0,26.5,190.0,25.3,170.0,185.0,195.0,200.0,44.0,47.0,49.0,50.0,
byd,2024,220.0,15.0,,,50.0,55.0,58.0,57.0,,,,,
byd,2025,385.0,15.0,,,90.0,95.0,100.0,100.0,,,,,
byd,2026E,480.0,15.0,,,110.0,120.0,125.0,125.0,,,,,
hb,2022,26.26,20.79,1.82,6.93,6.0,6.5,7.0,6.76,0.4,0.45,0.5,0.47,
hb,2023,69.82,19.8,5.78,8.28,16.0,17.0,18.0,18.82,1.3,1.4,1.5,1.58,
hb,2024,82.7,17.9,6.48,7.85,19.0,20.0,21.0,22.7,1.5,1.6,1.7,1.68,
hb,2025,116.04,19.26,9.49,8.18,27.0,29.0,30.0,30.04,2.2,2.4,2.5,2.39,
hb,2026E,331.2,18.29,26.83,8.1,78.0,82.0,85.0,86.2,6.3,6.7,7.0,6.83,
hc,2022,36.15,11.3,-17.77,-49.16,8.0,9.0,10.0,9.15,-4.5,-4.3,-4.2,-4.77,
hc,2023,102.02,12.1,-19.75,-19.36,24.0,25.0,26.0,27.02,-5.0,-4.8,-4.7,-5.25,
hc,2024,129.17,17.9,2.88,2.23,30.0,32.0,33.0,34.17,0.5,0.7,0.8,0.88,
hc,2025,224.48,17.55,7.3,3.25,52.0,55.0,58.0,59.48,1.5,1.8,2.0,2.0,
hc,2026E,300.0,17.0,12.0,4.0,68.0,74.0,78.0,80.0,2.5,3.0,3.2,3.3,
tesla,2024,234.0,17.0,40.95,17.5,55.0,58.0,60.0,61.0,9.5,10.0,10.5,10.95,
tesla,2025,327.0,17.0,55.59,17.0,78.0,81.0,84.0,84.0,13.0,14.0,14.5,14.09,
tesla,2026E,420.0,17.0,70.0,16.7,95.0,105.0,108.0,112.0,16.0,17.5,18.0,18.5,
tc,2022,19.54,9.53,0.01,0.04,4.5,5.0,5.0,5.04,0.0,0.0,0.0,0.01,
tc,2023,21.6,16.9,0.24,1.11,5.0,5.5,5.5,5.6,0.05,0.06,0.06,0.07,
tc,2024,29.15,11.15,-3.5,-12.01,7.0,7.5,7.5,7.15,-0.8,-0.9,-0.9,-0.9,
tc,2025,35.4,8.9,-4.6,-12.99,8.5,9.0,9.0,8.9,-1.1,-1.2,-1.1,-1.2,
tc,2026E,40.0,9.0,-3.0,-7.5,9.5,10.0,10.5,10.0,-0.8,-0.7,-0.75,-0.75,
deye,2022,59.56,40.4,15.17,25.5,14.0,15.0,15.5,15.06,3.5,3.8,4.0,3.87,
deye,2023,74.8,40.4,17.91,23.9,18.0,19.0,19.0,18.8,4.3,4.5,4.6,4.51,
deye,2024,112.06,38.8,29.6,26.4,27.0,28.0,28.5,28.56,7.0,7.5,7.5,7.6,
deye,2025,122.24,38.1,31.71,25.9,30.0,31.0,30.5,30.74,7.8,8.0,7.9,8.01,
deye,2026E,140.0,38.0,36.0,25.7,33.0,35.0,36.0,36.0,8.5,9.0,9.2,9.3,
sg,2023,0.58,31.3,-3.73,-640.5,0.1,0.15,0.15,0.18,-1.0,-0.9,-0.9,-0.93,
sg,2024,13.3,46.9,0.84,6.3,3.0,3.3,3.5,3.5,0.15,0.2,0.25,0.24,
sg,2025,90.01,50.1,29.19,32.4,20.0,22.0,24.0,24.01,6.5,7.0,7.8,7.89,
sg,2026E,120.0,48.0,38.0,31.7,27.0,30.0,31.0,32.0,8.5,9.5,9.8,10.2,
flu,2024,63.0,12.0,-0.28,-0.44,15.0,16.0,16.0,16.0,-0.1,-0.05,-0.05,-0.08,
flu,2025,59.5,14.0,0.5,0.84,14.0,15.0,15.5,15.0,0.1,0.15,0.15,0.1,
flu,2026E,62.0,14.0,1.2,1.9,14.5,15.5,16.0,16.0,0.25,0.3,0.35,0.3,
