category,metric_name,metric_value,unit,period,region
储能,全球储能出货量,15.0,GWh,2020,全球
储能,系统成本,1.25,¥/Wh,2020,全球
储能,全球储能出货量,29.0,GWh,2021,全球
储能,系统成本,1.05,¥/Wh,2021,全球
储能,全球储能出货量,54.0,GWh,2022,全球
储能,系统成本,0.82,¥/Wh,2022,全球
储能,全球储能出货量,98.0,GWh,2023,全球
储能,系统成本,0.58,¥/Wh,2023,全球
储能,全球储能出货量,185.0,GWh,2024,全球
储能,系统成本,0.45,¥/Wh,2024,全球
储能,全球储能出货量,310.0,GWh,2025,全球
储能,系统成本,0.38,¥/Wh,2025,全球
储能,全球储能出货量,420.0,GWh,2026E,全球
储能,系统成本,0.34,¥/Wh,2026E,全球
光伏,全球光伏出货量,130.0,GW,2020,全球
光伏,全球光伏出货量,170.0,GW,2021,全球
光伏,全球光伏出货量,240.0,GW,2022,全球
光伏,全球光伏出货量,390.0,GW,2023,全球
光伏,全球光伏出货量,520.0,GW,2024,全球
光伏,全球光伏出货量,650.0,GW,2025,全球
光伏,全球光伏出货量,780.0,GW,2026E,全球
锂电池,全球锂电池出货量,150.0,GWh,2020,全球
锂电池,碳酸锂价格,0.85,万元/吨,2020,全球
锂电池,全球锂电池出货量,260.0,GWh,2021,全球
锂电池,碳酸锂价格,0.72,万元/吨,2021,全球
锂电池,全球锂电池出货量,420.0,GWh,2022,全球
锂电池,碳酸锂价格,0.58,万元/吨,2022,全球
锂电池,全球锂电池出货量,590.0,GWh,2023,全球
锂电池,碳酸锂价格,0.42,万元/吨,2023,全球
锂电池,全球锂电池出货量,780.0,GWh,2024,全球
锂电池,碳酸锂价格,0.35,万元/吨,2024,全球
锂电池,全球锂电池出货量,980.0,GWh,2025,全球
锂电池,碳酸锂价格,0.32,万元/吨,2025,全球
锂电池,全球锂电池出货量,1180.0,GWh,2026E,全球
锂电池,碳酸锂价格,0.3,万元/吨,2026E,全球
