company_name,year_2024,year_2025,year_2026,americas,emea,china,asia_pacific
比亚迪,25.2,53.63,68.0,7.6,5.2,11.6,0.8
Tesla,33.65,46.7,55.0,27.1,3.5,0.0,3.1
阳光电源,28.0,42.95,52.0,8.0,5.0,13.5,1.5
宁德时代,33.0,41.5,50.0,14.2,3.0,13.6,2.2
华为,6.6,25.6,33.0,0.0,2.4,2.9,1.3
中车株洲所,14.6,25.05,32.0,0.0,0.0,14.6,0.0
海博思创,12.1,24.0,65.0,0.0,0.0,12.47,0.03
远景能源,8.0,17.1,22.0,0.4,0.5,6.8,0.3
海辰储能,0.0,10.3,15.0,4.7,1.2,3.3,1.1
电工时代,5.8,9.8,12.0,0.0,0.0,5.8,0.0
Fluence,9.0,8.5,10.0,5.1,1.825,0.0,2.1
阿特斯,6.5,8.1,10.5,3.5,0.2,1.66,1.14
