cid,period,total_gwh,domestic_gwh,export_gwh,residential_gwh,utility_gwh,commercial_gwh
catl,2022,47.0,47.0,0.0,5.0,35.0,7.0
catl,2023,69.0,69.0,0.0,8.0,52.0,9.0
catl,2024,93.0,31.4,61.6,12.0,65.0,16.0
catl,2025,121.0,32.0,89.0,15.0,80.0,26.0
catl,2026E,160.0,45.0,115.0,20.0,105.0,35.0
catl,2026Q1,35.0,,,,,
catl,2026Q2,40.0,,,,,
catl,2026Q3,42.0,,,,,
catl,2026Q4,43.0,,,,,
byd,2022,11.0,8.8,2.2,1.0,8.0,2.0
byd,2023,23.0,17.5,5.5,2.0,18.0,3.0
byd,2024,28.0,22.0,6.0,3.0,20.0,5.0
byd,2025,65.0,40.0,25.0,5.0,50.0,10.0
byd,2026E,85.0,55.0,30.0,8.0,65.0,12.0
byd,2026Q1,18.0,,,,,
byd,2026Q2,21.0,,,,,
byd,2026Q3,23.0,,,,,
byd,2026Q4,23.0,,,,,
hb,2022,2.105,2.105,0.0,0.0,1.5,0.605
hb,2023,6.212,6.212,0.0,0.2,5.0,1.012
hb,2024,13.6,13.0,0.6,0.5,10.0,3.1
hb,2025,28.0,27.5,0.5,1.0,22.0,5.0
hb,2026E,65.0,57.0,8.0,3.0,50.0,12.0
hb,2026Q1,14.0,,,,,
hb,2026Q2,16.0,,,,,
hb,2026Q3,17.0,,,,,
hb,2026Q4,18.0,,,,,
hc,2022,4.3,4.3,0.0,0.5,3.0,0.8
hc,2023,17.8,17.6,0.2,1.5,14.0,2.3
hc,2024,33.6,28.3,5.3,3.0,25.0,5.6
hc,2025,68.4,58.1,10.3,5.0,55.0,8.4
hc,2026E,95.0,80.0,15.0,7.0,75.0,13.0
hc,2026Q1,20.0,,,,,
hc,2026Q2,24.0,,,,,
hc,2026Q3,25.0,,,,,
hc,2026Q4,26.0,,,,,
tesla,2024,33.65,0.0,33.65,1.65,25.0,7.0
tesla,2025,46.7,0.0,46.7,2.0,35.0,9.7
tesla,2026E,60.0,0.0,60.0,3.0,45.0,12.0
tesla,2026Q1,13.0,,,,,
tesla,2026Q2,15.0,,,,,
tesla,2026Q3,16.0,,,,,
tesla,2026Q4,16.0,,,,,
tc,2022,2.0,1.48,0.46,0.3,1.3,0.4
tc,2023,2.17,1.56,0.61,0.3,1.5,0.37
tc,2024,4.84,3.3,1.54,0.6,3.5,0.74
tc,2025,9.5,6.5,3.0,1.0,7.0,1.5
tc,2026E,12.0,8.0,4.0,1.5,9.0,1.5
tc,2026Q1,2.7,,,,,
tc,2026Q2,3.0,,,,,
tc,2026Q3,3.1,,,,,
tc,2026Q4,3.2,,,,,
deye,2022,12.0,3.5,8.5,8.0,1.5,2.5
deye,2023,25.5,6.0,19.5,18.0,3.0,4.5
deye,2024,38.0,8.0,30.0,27.0,4.0,7.0
deye,2025,52.0,10.0,42.0,36.0,6.0,10.0
deye,2026E,65.0,12.0,53.0,45.0,7.0,13.0
deye,2026Q1,15.0,,,,,
deye,2026Q2,16.0,,,,,
deye,2026Q3,17.0,,,,,
deye,2026Q4,17.0,,,,,
sg,2024,1.5,0.05,1.45,1.2,0.1,0.2
sg,2025,4.0,0.04,3.96,3.2,0.3,0.5
sg,2026E,8.0,0.1,7.9,6.4,0.6,1.0
sg,2026Q1,1.7,,,,,
sg,2026Q2,2.0,,,,,
sg,2026Q3,2.1,,,,,
sg,2026Q4,2.2,,,,,
flu,2024,9.0,5.1,3.9,0.0,7.0,2.0
flu,2025,8.5,4.7,3.8,0.0,6.5,2.0
flu,2026E,10.0,5.5,4.5,0.0,8.0,2.0
flu,2026Q1,2.3,,,,,
flu,2026Q2,2.5,,,,,
flu,2026Q3,2.6,,,,,
flu,2026Q4,2.6,,,,,
